Pages	Language	LanguageGroup	German	English	Indonesian	Forms	OldFormOrig	OldFormChange
598	Malaienländer	Sumātra	Frau	Woman	Perempuan	Orang-perampuan	Orang-perampuan	
598	Singkel	Sumātra	Frau	Woman	Perempuan	Debarru	Debarru	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Frau	Woman	Perempuan	Silawé	Silawé	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Frau	Woman	Perempuan	sinanaleb	sinanaleb	
598	Nias	Inselgruppen weftlich von Sumātra	Frau	Woman	Perempuan	iraälāwé	iraälāwé	
598	Engano	Inselgruppen weftlich von Sumātra	Frau	Woman	Perempuan	fakka-howdah	fakka-howdah	
598	Gorontalo	Selēbes	Frau	Woman	Perempuan	tābǔǎ	tābǔǎ	
598	Togean-Inseln	Selēbes	Frau	Woman	Perempuan	wèǎ	wèǎ	
598	Wammer	Aru-Inseln	Frau	Woman	Perempuan	kodar	kodar	
598	Wonumbai	Aru-Inseln	Frau	Woman	Perempuan	kodar	kodar	
598	Trangan	Aru-Inseln	Frau	Woman	Perempuan	korkoder	korkoder	
598	Koor	Südofter-Inseln	Frau	Woman	Perempuan	memviena	memviena	
598	Tijoor	Südofter-Inseln	Frau	Woman	Perempuan	gemum	gemum	
598	Kei-Inseln	Südofter-Inseln	Frau	Woman	Perempuan	watwat	watwat	
598	Watubella	Südofter-Inseln	Frau	Woman	Perempuan	hilara	hilara	
598	Goram	Südofter-Inseln	Frau	Woman	Perempuan	wawiena	wawiena	
598	Karufa	Neuguinea	Frau	Woman	Perempuan	maisoida	maisoida	
598	Nufoor	Neuguinea	Frau	Woman	Perempuan	bien	bien	
598	Andai	Neuguinea	Frau	Woman	Perempuan	armaan	armaan	
598	Hattam	Neuguinea	Frau	Woman	Perempuan	sobah	sobah	
598	Malaienländer	Sumātra	Kind	Child	Anak	Auak	Auak	
598	Singkel	Sumātra	Kind	Child	Anak	Anu	Anu	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Kind	Child	Anak	Auah	Auah	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Kind	Child	Anak	toga	toga	
598	Nias	Inselgruppen weftlich von Sumātra	Kind	Child	Anak	ono	ono	
598	Engano	Inselgruppen weftlich von Sumātra	Kind	Child	Anak	harah	harah	
598	Gorontalo	Selēbes	Kind	Child	Anak	walao	walao	
598	Togean-Inseln	Selēbes	Kind	Child	Anak	ana	ana	
598	Wammer	Aru-Inseln	Kind	Child	Anak	gakwadja	gakwadja	
598	Wonumbai	Aru-Inseln	Kind	Child	Anak	goga	goga	
598	Trangan	Aru-Inseln	Kind	Child	Anak	gaga	gaga	
598	Koor	Südofter-Inseln	Kind	Child	Anak	bobobor	bobobor	
598	Tijoor	Südofter-Inseln	Kind	Child	Anak	luar	luar	
598	Kei-Inseln	Südofter-Inseln	Kind	Child	Anak	anan	anan	
598	Watubella	Südofter-Inseln	Kind	Child	Anak	onena	onena	
598	Goram	Südofter-Inseln	Kind	Child	Anak	anak	anak	
598	Karufa	Neuguinea	Kind	Child	Anak	tameneitu	tameneitu	
598	Nufoor	Neuguinea	Kind	Child	Anak	romāwa	romāwa	
598	Hattam	Neuguinea	Kind	Child	Anak	mongguma	mongguma	
598	Malaienländer	Sumātra	Mann	Man	Pria	Orang-laki~laki	Orang-lakilaki	Orang-laki~laki
598	Singkel	Sumātra	Mann	Man	Pria	Daholin	Daholin	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Mann	Man	Pria	Silahé	Silahé	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Mann	Man	Pria	temandéju	temandéju	
598	Nias	Inselgruppen weftlich von Sumātra	Mann	Man	Pria	iramatua	iramatua	
598	Engano	Inselgruppen weftlich von Sumātra	Mann	Man	Pria	fakka-manie	fakka-manie	
598	Gorontalo	Selēbes	Mann	Man	Pria	bangké	bangké	
598	Togean-Inseln	Selēbes	Mann	Man	Pria	longgai	longgai	
598	Wammer	Aru-Inseln	Mann	Man	Pria	lessie	lessie	
598	Wammer	Aru-Inseln	Mann	Man	Pria	lessie	lessie	
598	Trangan	Aru-Inseln	Mann	Man	Pria	lelefir	lelefir	
598	Koor	Südofter-Inseln	Mann	Man	Pria	menrana	menrana	
598	Tijoor	Südofter-Inseln	Mann	Man	Pria	djau	djau	
598	Kei-Inseln	Südofter-Inseln	Mann	Man	Pria	branran	branran	
598	Watubella	Südofter-Inseln	Mann	Man	Pria	maranna	maranna	
598	Goram	Südofter-Inseln	Mann	Man	Pria	uranna	uranna	
598	Karufa	Neuguinea	Mann	Man	Pria	mutangki	mutangki	
598	Nufoor	Neuguinea	Mann	Man	Pria	snun	snun	
598	Andai	Neuguinea	Mann	Man	Pria	arpeon	arpeon	
598	Hattam	Neuguinea	Mann	Man	Pria	tungutunga	tungutunga	
598	Malaienländer	Sumātra	Mensch	Man	Pria	Orang	Orang	
598	Singkel	Sumātra	Mensch	Man	Pria	Djelma	Djelma	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Mensch	Man	Pria	Atha	Atha	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Mensch	Man	Pria	seribenūa	seribenūa	
598	Nias	Inselgruppen weftlich von Sumātra	Mensch	Man	Pria	niha	niha	
598	Engano	Inselgruppen weftlich von Sumātra	Mensch	Man	Pria	tāba	tāba	
598	Gorontalo	Selēbes	Mensch	Man	Pria	tau	tau	
598	Togean-Inseln	Selēbes	Mensch	Man	Pria	manusiea	manusiea	
598	Wammer	Aru-Inseln	Mensch	Man	Pria	tamatta	tamatta	
598	Wonumbai	Aru-Inseln	Mensch	Man	Pria	tamatta	tamatta	
598	Trangan	Aru-Inseln	Mensch	Man	Pria	tamatta	tamatta	
598	Koor	Südofter-Inseln	Mensch	Man	Pria	nongbie	nongbie	
598	Tijoor	Südofter-Inseln	Mensch	Man	Pria	melāwa	melāwa	
598	Watubella	Südofter-Inseln	Mensch	Man	Pria	manosia	manosia	
598	Goram	Südofter-Inseln	Mensch	Man	Pria	manusia	manusia	
598	Karufa	Neuguinea	Mensch	Man	Pria	mahri	mahri	
598	Nufoor	Neuguinea	Mensch	Man	Pria	snunkaku	snunkaku	
598	Andai	Neuguinea	Mensch	Man	Pria	tungmatau	tungmatau	
598	Hattam	Neuguinea	Mensch	Man	Pria	tungutung	tungutung	
598	Malaienländer	Sumātra	Sohn	son	Anak laki-laki	Auak-laki~laki	Auak-lakilaki	Auak-laki~laki
598	Singkel	Sumātra	Sohn	son	Anak laki-laki	Anu-daholie	Anu-daholie	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Sohn	son	Anak laki-laki	Auah-silahé	Auah-silahé	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Sohn	son	Anak laki-laki	toga-temandéju	toga-temandéju	
598	Nias	Inselgruppen weftlich von Sumātra	Sohn	son	Anak laki-laki	ono-siramatua	ono-siramatua	
598	Engano	Inselgruppen weftlich von Sumātra	Sohn	son	Anak laki-laki	harah-manie	harah-manie	
598	Togean-Inseln	Selēbes	Sohn	son	Anak laki-laki	ana-longgai	ana-longgai	
598	Wammer	Aru-Inseln	Sohn	son	Anak laki-laki	gakwad-lessie	gakwad-lessie	
598	Wonumbai	Aru-Inseln	Sohn	son	Anak laki-laki	goga-lessie	goga-lessie	
598	Trangan	Aru-Inseln	Sohn	son	Anak laki-laki	gaga-lelefir	gaga-lelefir	
598	Koor	Südofter-Inseln	Sohn	son	Anak laki-laki	bobobor-menranna	bobobor-menranna	
598	Tijoor	Südofter-Inseln	Sohn	son	Anak laki-laki	luar-djau	luar-djau	
598	Watubella	Südofter-Inseln	Sohn	son	Anak laki-laki	onena-maranna	onena-maranna	
598	Goram	Südofter-Inseln	Sohn	son	Anak laki-laki	auak-uranna	auak-uranna	
598	Nufoor	Neuguinea	Sohn	son	Anak laki-laki	rumguhn	rumguhn	
598	Andai	Neuguinea	Sohn	son	Anak laki-laki	mokoraas	mokoraas	
598	Hattam	Neuguinea	Sohn	son	Anak laki-laki	monggumua	monggumua	
598	Malaienländer	Sumātra	Tochter	Daughter	Anak perempuan	Anak-perampuan	Anak-perampuan	
598	Singkel	Sumātra	Tochter	Daughter	Anak perempuan	Anu-dibarru	Anu-dibarru	
598	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Tochter	Daughter	Anak perempuan	Ana-silawé	Ana-silawé	
598	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Tochter	Daughter	Anak perempuan	toga-sinanaleb	toga-sinanaleb	
598	Nias	Inselgruppen weftlich von Sumātra	Tochter	Daughter	Anak perempuan	ono-alāwé	ono-alāwé	
598	Engano	Inselgruppen weftlich von Sumātra	Tochter	Daughter	Anak perempuan	harah-howdah	harah-howdah	
598	Togean-Inseln	Selēbes	Tochter	Daughter	Anak perempuan	ana-wèǎ	ana-wèǎ	
598	Wammer	Aru-Inseln	Tochter	Daughter	Anak perempuan	gakwad kodar	gakw. kodar	gakwad kodar
598	Wonumbai	Aru-Inseln	Tochter	Daughter	Anak perempuan	goga-kodar	goga-kodar	
598	Trangan	Aru-Inseln	Tochter	Daughter	Anak perempuan	gaga-korkoder	gaga-korkoder	
598	Koor	Südofter-Inseln	Tochter	Daughter	Anak perempuan	bobobor memwiena	bob: memwiena	bobobor memwiena
598	Tijoor	Südofter-Inseln	Tochter	Daughter	Anak perempuan	luar gemum	luar gemum	
598	Watubella	Südofter-Inseln	Tochter	Daughter	Anak perempuan	onena-hilara	onena-hilara	
598	Goram	Südofter-Inseln	Tochter	Daughter	Anak perempuan	auak-wawiena	auak-wawiena	
598	Nufoor	Neuguinea	Tochter	Daughter	Anak perempuan	nai	nai	
598	Hattam	Neuguinea	Tochter	Daughter	Anak perempuan	sobaan	sobaan	
599	Malaienländer	Sumātra	Bruder	Brother	Saudara laki-laki	Sudara-laki~laki	Sudara-lakilaki	Sudara-laki~laki
599	Singkel	Sumātra	Bruder	Brother	Saudara laki-laki	Seninna-daholie	Seninna-daholie	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Bruder	Brother	Saudara laki-laki	Agie-silahé	Agie-silahé	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Bruder	Brother	Saudara laki-laki	kebu	kebu	
599	Nias	Inselgruppen weftlich von Sumātra	Bruder	Brother	Saudara laki-laki	talifusso	talifusso	
599	Engano	Inselgruppen weftlich von Sumātra	Bruder	Brother	Saudara laki-laki	farah-manie	farah-manie	
599	Gorontalo	Selēbes	Bruder	Brother	Saudara laki-laki	utato	utato	
599	Togean-Inseln	Selēbes	Bruder	Brother	Saudara laki-laki	aingo-longgai	aingo-longgai	
599	Wammer	Aru-Inseln	Bruder	Brother	Saudara laki-laki	kakang-lessi	kakang-lessi	
599	Wonumbai	Aru-Inseln	Bruder	Brother	Saudara laki-laki	abula	abula	
599	Trangan	Aru-Inseln	Bruder	Brother	Saudara laki-laki	karmari-lelefie	karmari-lelefie	
599	Tijoor	Südofter-Inseln	Bruder	Brother	Saudara laki-laki	medar	medar	
599	Kei-Inseln	Südofter-Inseln	Bruder	Brother	Saudara laki-laki	warahno	warahno	
599	Goram	Südofter-Inseln	Bruder	Brother	Saudara laki-laki	nogurogu-urana	nogurogu-urana	
599	Nufoor	Neuguinea	Bruder	Brother	Saudara laki-laki	dejaai	dejaai	
599	Andai	Neuguinea	Bruder	Brother	Saudara laki-laki	dekangmaan	dekangmaan	
599	Hattam	Neuguinea	Bruder	Brother	Saudara laki-laki	nèkowoaan	nèkowoaan	
599	Malaienländer	Sumātra	Haar	Hair	Rambut	Rambut	Rambut	
599	Singkel	Sumātra	Haar	Hair	Rambut	Book	Book	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Haar	Hair	Rambut	Bo	Bo	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Haar	Hair	Rambut	alei	alei	
599	Nias	Inselgruppen weftlich von Sumātra	Haar	Hair	Rambut	bu	bu	
599	Engano	Inselgruppen weftlich von Sumātra	Haar	Hair	Rambut	puru-ulu	puru-ulu	
599	Gorontalo	Selēbes	Haar	Hair	Rambut	fuwoö	fuwoö	
599	Togean-Inseln	Selēbes	Haar	Hair	Rambut	wuiua	wuiua	
599	Wammer	Aru-Inseln	Haar	Hair	Rambut	fuku	fuku	
599	Wonumbai	Aru-Inseln	Haar	Hair	Rambut	fuku	fuku	
599	Trangan	Aru-Inseln	Haar	Hair	Rambut	fuku	fuku	
599	Koor	Südofter-Inseln	Haar	Hair	Rambut	olintawen	olintawen	
599	Tijoor	Südofter-Inseln	Haar	Hair	Rambut	laht	laht	
599	Kei-Inseln	Südofter-Inseln	Haar	Hair	Rambut	maurut	maurut	
599	Watubella	Südofter-Inseln	Haar	Hair	Rambut	wua	wua	
599	Goram	Südofter-Inseln	Haar	Hair	Rambut	wu	wu	
599	Karufa	Neuguinea	Haar	Hair	Rambut	umuh-ulu	umuh-ulu	
599	Nufoor	Neuguinea	Haar	Hair	Rambut	buraim	buraim	
599	Andai	Neuguinea	Haar	Hair	Rambut	kapongua	kapongua	
599	Hattam	Neuguinea	Haar	Hair	Rambut	ibontha	ibontha	
599	Humboldtbai	Neuguinea	Haar	Hair	Rambut	gemuroh	gemuroh	
599	Malaienländer	Sumātra	Kopf	Head	Kepala	Kapala	Kapala	
599	Singkel	Sumātra	Kopf	Head	Kepala	Takal	Takal	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Kopf	Head	Kepala	Ulu	Ulu	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Kopf	Head	Kepala	uté	uté	
599	Nias	Inselgruppen weftlich von Sumātra	Kopf	Head	Kepala	hohgo	hohgo	
599	Engano	Inselgruppen weftlich von Sumātra	Kopf	Head	Kepala	ulu	ulu	
599	Gorontalo	Selēbes	Kopf	Head	Kepala	lunggongo	lunggongo	
599	Togean-Inseln	Selēbes	Kopf	Head	Kepala	woö	woö	
599	Wammer	Aru-Inseln	Kopf	Head	Kepala	gulditabarri	gulditabarri	
599	Wonumbai	Aru-Inseln	Kopf	Head	Kepala	guling	guling	
599	Trangan	Aru-Inseln	Kopf	Head	Kepala	gultabbar	gultabbar	
599	Koor	Südofter-Inseln	Kopf	Head	Kepala	ulun	ulun	
599	Tijoor	Südofter-Inseln	Kopf	Head	Kepala	duru	duru	
599	Kei-Inseln	Südofter-Inseln	Kopf	Head	Kepala	un	un	
599	Watubella	Südofter-Inseln	Kopf	Head	Kepala	alu	alu	
599	Goram	Südofter-Inseln	Kopf	Head	Kepala	ilunin	ilunin	
599	Karufa	Neuguinea	Kopf	Head	Kepala	umuh	umuh	
599	Nufoor	Neuguinea	Kopf	Head	Kepala	rwuri	rwuri	
599	Andai	Neuguinea	Kopf	Head	Kepala	kapruapien	kapruapien	
599	Hattam	Neuguinea	Kopf	Head	Kepala	debonggawa	debonggawa	
599	Humboldtbai	Neuguinea	Kopf	Head	Kepala	wehrei	wehrei	
599	Malaienländer	Sumātra	Mutter	mother	ibu	Mai	Mai	
599	Singkel	Sumātra	Mutter	mother	ibu	Jnanga	Jnanga	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Mutter	mother	ibu	Nenne	Nenne	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Mutter	mother	ibu	kmaman	kmaman	
599	Nias	Inselgruppen weftlich von Sumātra	Mutter	mother	ibu	ina	ina	
599	Engano	Inselgruppen weftlich von Sumātra	Mutter	mother	ibu	kabea	kabea	
599	Gorontalo	Selēbes	Mutter	mother	ibu	nahea	nahea	
599	Wammer	Aru-Inseln	Mutter	mother	ibu	djinang	djinang	
599	Wonumbai	Aru-Inseln	Mutter	mother	ibu	adjiena	adjiena	
599	Trangan	Aru-Inseln	Mutter	mother	ibu	djienne	djienne	
599	Koor	Südofter-Inseln	Mutter	mother	ibu	inan	inan	
599	Kei-Inseln	Südofter-Inseln	Mutter	mother	ibu	renan	renan	
599	Watubella	Südofter-Inseln	Mutter	mother	ibu	nina	nina	
599	Goram	Südofter-Inseln	Mutter	mother	ibu	nina	nina	
599	Nufoor	Neuguinea	Mutter	mother	ibu	maikri	maikri	
599	Andai	Neuguinea	Mutter	mother	ibu	demiehm	demiehm	
599	Hattam	Neuguinea	Mutter	mother	ibu	narmemma	narmemma	
599	Malaienländer	Sumātra	Schwester	sister	saudara perempuan	Sudara-prampuan	Sudara-prampuan	
599	Singkel	Sumātra	Schwester	sister	saudara perempuan	Seninna-dibarru	Seninna-dibarru	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Schwester	sister	saudara perempuan	Agie-silawé	Agie-silawé	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Schwester	sister	saudara perempuan	bagie	bagie	
599	Nias	Inselgruppen weftlich von Sumātra	Schwester	sister	saudara perempuan	talifusso-alawé	talifusso-alawé	
599	Engano	Inselgruppen weftlich von Sumātra	Schwester	sister	saudara perempuan	farah-howdah	farah-howdah	
599	Gorontalo	Selēbes	Schwester	sister	saudara perempuan	utatabua	utatabua	
599	Togean-Inseln	Selēbes	Schwester	sister	saudara perempuan	aingo-wèǎ	aingo-wèǎ	
599	Wammer	Aru-Inseln	Schwester	sister	saudara perempuan	kakang-kodar	kakang-kodar	
599	Wonumbai	Aru-Inseln	Schwester	sister	saudara perempuan	karmari	karmari	
599	Trangan	Aru-Inseln	Schwester	sister	saudara perempuan	karm: korkodor	karm: korkodor	
599	Tijoor	Südofter-Inseln	Schwester	sister	saudara perempuan	melak	melak	
599	Goram	Südofter-Inseln	Schwester	sister	saudara perempuan	nogurogu wawiena	nogur. wawiena	nogurogu wawiena
599	Nufoor	Neuguinea	Schwester	sister	saudara perempuan	sraar	sraar	
599	Andai	Neuguinea	Schwester	sister	saudara perempuan	dekangmamrmaan	dekangmamrmaan	
599	Hattam	Neuguinea	Schwester	sister	saudara perempuan	unkamaan	unkamaan	
599	Malaienländer	Sumātra	Vater	Father	Ayah	Pai	Pai	
599	Singkel	Sumātra	Vater	Father	Ayah	Haka	Haka	
599	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Vater	Father	Ayah	Uau	Uau	
599	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Vater	Father	Ayah	okui	okui	
599	Nias	Inselgruppen weftlich von Sumātra	Vater	Father	Ayah	amä	amä	
599	Engano	Inselgruppen weftlich von Sumātra	Vater	Father	Ayah	amah	amah	
599	Gorontalo	Selēbes	Vater	Father	Ayah	mopaätto	mopaätto	
599	Wammer	Aru-Inseln	Vater	Father	Ayah	awang	awang	
599	Wonumbai	Aru-Inseln	Vater	Father	Ayah	awu	awu	
599	Trangan	Aru-Inseln	Vater	Father	Ayah	amei	amei	
599	Koor	Südofter-Inseln	Vater	Father	Ayah	tata	tata	
599	Kei-Inseln	Südofter-Inseln	Vater	Father	Ayah	jamad	jamad	
599	Watubella	Südofter-Inseln	Vater	Father	Ayah	jai	jai	
599	Goram	Südofter-Inseln	Vater	Father	Ayah	baza	baza	
599	Nufoor	Neuguinea	Vater	Father	Ayah	kamahri	kamahri	
599	Andai	Neuguinea	Vater	Father	Ayah	suari	suari	
599	Hattam	Neuguinea	Vater	Father	Ayah	detjija	detjija	
600	Malaienländer	Sumātra	Auge	eye	mata	Mata	Mata	
600	Singkel	Sumātra	Auge	eye	mata	Mata	Mata	
600	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Auge	eye	mata	Mata	Mata	
600	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Auge	eye	mata	mata	mata	
600	Nias	Inselgruppen weftlich von Sumātra	Auge	eye	mata	hohro	hohro	
600	Engano	Inselgruppen weftlich von Sumātra	Auge	eye	mata	bahka	bahka	
600	Gorontalo	Selēbes	Auge	eye	mata	mato	mato	
600	Togean-Inseln	Selēbes	Auge	eye	mata	mata	mata	
600	Wammer	Aru-Inseln	Auge	eye	mata	mata	mata	
600	Wonumbai	Aru-Inseln	Auge	eye	mata	matang	matang	
600	Trangan	Aru-Inseln	Auge	eye	mata	mata	mata	
600	Koor	Südofter-Inseln	Auge	eye	mata	matan	matan	
600	Tijoor	Südofter-Inseln	Auge	eye	mata	jau	jau	
600	Watubella	Südofter-Inseln	Auge	eye	mata	mata	mata	
600	Goram	Südofter-Inseln	Auge	eye	mata	matanin	matanin	
600	Karufa	Neuguinea	Auge	eye	mata	mata	mata	
600	Nufoor	Neuguinea	Auge	eye	mata	mgasi	mgasi	
600	Andai	Neuguinea	Auge	eye	mata	akuhwo	akuhwo	
600	Hattam	Neuguinea	Auge	eye	mata	jimana	jimana	
600	Humboldtbai	Neuguinea	Auge	eye	mata	wendu	wendu	
600	Malaienländer	Sumātra	Finger	Finger	Jari	Djahrie	Djahrie	
600	Singkel	Sumātra	Finger	Finger	Jari	Djahrie	Djahrie	
600	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Finger	Finger	Jari	Gau-anangan	Gau-anangan	
600	Nias	Inselgruppen weftlich von Sumātra	Finger	Finger	Jari	tutuhru	tutuhru	
600	Engano	Inselgruppen weftlich von Sumātra	Finger	Finger	Jari	minu-afa	minu-afa	
600	Gorontalo	Selēbes	Finger	Finger	Jari	tungongoao-lulu	tungongoao-lulu	
600	Kei-Inseln	Südofter-Inseln	Finger	Finger	Jari	kew	kew	
600	Karufa	Neuguinea	Finger	Finger	Jari	tjerok	tjerok	
600	Nufoor	Neuguinea	Finger	Finger	Jari	wapiesi	wapiesi	
600	Andai	Neuguinea	Finger	Finger	Jari	amau-buëb	amau-buëb	
600	Hattam	Neuguinea	Finger	Finger	Jari	indappadung	indappadung	
600	Humboldtbai	Neuguinea	Finger	Finger	Jari	waja-fugé	waja-fugé	
600	Malaienländer	Sumātra	Hand	Hand	Tangan	Tangan	Tangan	
600	Singkel	Sumātra	Hand	Hand	Tangan	Tangan	Tangan	
600	Banjak-Inseln	Inselgruppen weftlich von Sumātra	Hand	Hand	Tangan	Gau	Gau	
600	Mentawej-Inseln	Inselgruppen weftlich von Sumātra	Hand	Hand	Tangan	kabei	kabei	
600	Nias	Inselgruppen weftlich von Sumātra	Hand	Hand	Tangan	tetetanga	tetetanga	
600	Engano	Inselgruppen weftlich von Sumātra	Hand	Hand	Tangan	afa	afa	
600	Gorontalo	Selēbes	Hand	Hand	Tangan	paládu	paládu	
600	Togean-Inseln	Selēbes	Hand	Hand	Tangan	palè	palè	
600	Wammer	Aru-Inseln	Hand	Hand	Tangan	limeidi	limeidi	
600	Wonumbai	Aru-Inseln	Hand	Hand	Tangan	limang	limang	
600	Trangan	Aru-Inseln	Hand	Hand	Tangan	limei	limei	
600	Koor	Südofter-Inseln	Hand	Hand	Tangan	liman	liman	
600	Tijoor	Südofter-Inseln	Hand	Hand	Tangan	prè	prè	
600	Kei-Inseln	Südofter-Inseln	Hand	Hand	Tangan	limat	limat	
600	Goram	Südofter-Inseln	Hand	Hand	Tangan	imahnin	imahnin	
600	Karufa	Neuguinea	Hand	Hand	Tangan	nimangouta	nimangouta	
600	Nufoor	Neuguinea	Hand	Hand	Tangan	rwasi	rwasi	
600	Andai	Neuguinea	Hand	Hand	Tangan	amau	amau	
600	Hattam	Neuguinea	Hand	Hand	Tangan	indappadjua	indappadjua	
600	Humboldtbai	Neuguinea	Hand	Hand	Tangan	eijé-fugé	eijé-fugé	
